Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
trello-backend,com0.trello,ConfigWeb,addCorsMappings,Long Statement,The length of the statement "registry.addMapping("/**").allowedOrigins("http://localhost:3001").allowedMethods("GET"`"POST"`"PUT"`"DELETE").allowedHeaders("*").allowCredentials(true);" is 154.,10
trello-backend,com0.trello,BoardTest,updateBoardWithoutAssignedIdTest,Magic Number,The method contains a magic number: 2,69
trello-backend,com0.trello,BoardTest,GetAllBoardsInWorkspaceTest,Magic Number,The method contains a magic number: 2,83
trello-backend,com0.trello,BoardTest,GetAllBoardsInWorkspaceTest,Magic Number,The method contains a magic number: 3,83
trello-backend,com0.trello,BoardTest,GetAllBoardsInWorkspaceTest,Magic Number,The method contains a magic number: 3,83
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 2023,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 07,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 19,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 2023,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 07,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 21,39
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 2023,59
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 07,59
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 19,59
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 2023,59
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 07,59
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 25,59
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 2023,75
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 07,75
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 19,75
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 2023,75
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 07,75
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 25,75
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 2023,100
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 07,100
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 19,100
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 2023,100
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 07,100
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 25,100
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 2023,130
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 07,130
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 19,130
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 2023,130
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 07,130
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 25,130
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 2023,130
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 07,130
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 29,130
trello-backend,com0.trello,TaskTest,changeDueDateTest,Magic Number,The method contains a magic number: 2023,130
