Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
trello-backend,com0.trello,TrelloBackendApplicationTests,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trello-backend,com0.trello,TrelloBackendApplicationTests,contextLoads,Empty test,The tool detected the smell in this test method because the test is empty.
